a | zu, an, bei
buró de information | Auskunftsbüro
bursa | Aktienbörse
bursero | Börsianer
busso | Buchs(baum)
bossol | Kompass
butíca | Laden, Geschäft
buticario | Ladenbesitzer
buton | Knopf
buton de mamme | Nippel, Brustwarze
butonar | knöpfen
butoniere | Knopfloch
buttre | Butter
buttre-serum | Molke
bux | Büchse
Byelorussia | Weißrussland
ca | ob
cabane | Hütte
cabinette | Kabinett
cable | Kabel
cabotage | Küstenschifffahrt
cabotero | Küstenschiffer
cabrar se | sich aufbäumen
cacáo | Kakao
cacarear | gackern
cacatú | Kakadu
cachemir | Kaschmir (Wolle)
cacté | Kaktus
cadavre | Leichnam, Kadaver
cader | fallen
caderne | Heft
cadette | Kadett, Anwärter
cadida | Fallen
cadmium | Kadmium
cadre | Rahmen
caduc | hinfällig, baufällig
caducitá | Baufälligkeit
café | Kaffee
cafeería | Café
cage | Käfig
calabron | Hornisse
cálame | Halm
calamitá | Unglück, Plage, Schicksalsschlag
calcar | durchpausen
calce | Kalk
calcic | verkalkt, kalkhaltig
calcin | Kalk-
calcul | Rechnung
calcul final | Abrechnung
calcular | rechnen, berechnen
calculation | Rechnung, Berechnung
calculator | Rechnung
caldiere | Dampfkessel
caldron | Kessel
caleche | Kalesche
calefacter | kalfatern
calembur | Wortspiel, Kalauer
calendare | Kalender
calentar | wärmen, warm machen, heizen
calentation | Heizung
calentation central | Zentralheizung
caler | warm sein, heiß sein
yo cale | mir ist warm
calibre | Kaliber
cálice | Kelch
calif | Kalif
califatu | Kalifat
California | Kalifornien
californian | kalifornisch
caligrafie | Kalligraphie
calcium | Kalzium
calid | warm, heiß
calle | Schwiele
calm | ruhig
calmant | ruhig
calmar | ruhig sein, still sein
calme | Ruhe
calore | Wärme, Hitze
calorie | Kalorie
calson | Unterhose
calson de balne | Badehose
calumniar | verleumden
calumnie | Verleumdung
calumniosi | verleumdnerisch
calvi | kahl
calvitá | Kahlheit
calvon | Kahlkopf
camarada | Kameradin
camaraderíe | Kameradschaft
camarado | Kamerad
cambiar | wechseln
cambie | Wechsel
cambio | Wechsel (bei Wertpapieren)
Cambodja | Kambodscha
cambodjes | kambodschanisch
camel | Kamel
cameleon | Chamäleon
cámera | 1. Kamera, 2. Zimmer, Kammer
camerlingo | Kammerherr
Camerun | Kamerun
camerunes | kamerunisch
camine | Kamin
camion | Lastwagen, LKW
camise | Hemd
camisette | Hemdchen, Unterhemd
camp | Feld, Lager
camp de mortes | Gottesacker, Friedhof
campania | Land, ländlicher Raum, Gefilde
campanie | Feldzug
campanie electoral | Wahlkampf
campar | kampieren, zelten
camping | Camping
camping-bus | Campingbus
camping-mobil | Campingwagen
camuflage | Tarnung
camuflar | tarnen
canábe | Hanf
Canada | Kanada
canades | kanadisch
canale | Kanal
canalisar | kanalisieren
canallia | Kanailie, Pack,
canapé | Sofa, Couch
Canaries | Kanarische Inseln
cancellaria | Kanzlei
cancellera | Kanzlerin
cancellero | Kanzler
cáncer | Krebs (Krankheit)
candel | Kerze
candelabre | Kronleuchter
candeliero | Kerzenleuchter
candid | aufrichtig, freimütig
candidate | Kandidat
candir | kandieren
candore | Freimütigkeit, Aufrichtigkeit
cane | Hund
canevas | Segeltuch
canibale | Kannibale
canicul | Kaninchen
canif | Taschenmesser
canin | Hund-
canne | Rohr
cannel | Rinne, Auskerbung
cannelle | Zimt
cannonada | Kanonenbeschuss, Kanonade
cannonar | kanonieren
cannone | Kanone
cannonero | Kanonier
canó | Kanu
canon | Kanon
canonisar | kanonisieren
cantar | singen
cantation | Gesang
cantator | Sänger
cante | Lied, Gesang
cantine | Kantine
canton | Kanton
cantonar | kantonisieren
canú | Skiff, Renneiner (Ruderboot)
canuch | kleiner Köter
canyon | Schlucht, Canyon
canzon | Lied
cáos | Chaos
caotic | chaotisch
cap | Kopf
Cap del Bon Esperantie | Kap der guten Hoffnung
capabil | fähig
capablitá | Fähigkeit
capacitá | Rauminhalt, Kapazität
cap-dolore | Kopfschmerz
capella | Kapelle
capellmastro | Kapellmeister, Dirigent
capillatura | Haarschopf
capille | Haar
capill-tresse | Zopf
capir | kapieren, erfassen
capitale | 1. Hauptstadt, 2. Kapital
capitalist | Kapitalist
capitano | Kapitän, Hauptmann
capitul | Kapitel
capitular | kapitulieren
capitulation | Kapitulation
capon | Kapaun
caporale | Korporal
cappar | kappen
cappe | Kappe
capre | Ziege
capreol | Reh
capricorn | Steinbock
capricie | Laune, launischer Einfall
capriciosi | launisch, kapriziös
capro | Ziegenbock
capsul | Kapsel
capter | fangen, fassen, ergreifen
caption | Festnahme, Gefangennahme
captiv | gefangen
captivitá | Gefangenschaft
captura | Fang
capuce | Kapuze
car | lieb, nett
cara | Liebling, Schatz (weiblich)
caractere | Charakter
caracterisar | charakterisieren
caracteristic | charakteristisch
caracteristicum | Charaktereigenschaft
caraffe | Karaffe, geschliffene Flasche
caramelle | Karamell
caravan | Wohnwagen
caravane | Karawane
caravanserái | Karawane
carat | Karat
carbon | Kohle
carboniera | Kohlegrube
carbonio | Kohlenstoff
carbuncul | Brandgeschwür
carcasse | Gerippe
cárcere | Kerker, Gefängnis
carcerero | Gefängniswärter
carde | Distel
cardinal | hauptsächlich
cardinale | Kardinal
carema | Fastenzeit
caremar | fasten
caresse | Liebkosung, Zärtlichkeit
caressar | liebkosen, streicheln
carga | Last, Bürde
cargage | Last
cargar | laden, beladen
caricar | karikieren
caricatura | Karikatur
caricaturist | Karikaturist
Carintia | Kärnten
carintian | kärntnerisch
carie | Karies
cariera | Karriere
carir | entbehren
carmesin | blutrot, karmesinrot
carnage | Massaker, Schlachtfest
carne | Fleisch
carne-mosca | Schmeißfliege, Fleischfliege
carne bovin | Rindfleisch
carne vaccelin | Kalbsfleisch
carnero | Fleischer
carnevale | Karneval
carnivore | Fleischfresser
carnivori | fleischfressend
caro | Lieber, Geliebter
carosse | Kutsche
carotte | Möhre, Karotte
Carpates | Karpaten
carpe | Karpfen
carpentar | zimmern
carpentero | Zimmermann
carre | Karren, Wagen
carrel | Kachel, Fliese
carruch(o) | Schubkarre
carrusell(e) | Karussell
carst | Karst
carte | Karte
carte de credite | Kreditkarte
carte geografic | Landkarte
carte postal | Postkarte
carteche | Kartätsche
cartelle | Kartell
cartilágine | Knorpel
carton | Pappe, Karton
cartuche | Patrone
cascade | Wasserfall
casco | Helm
caseo | Käse
caserne | Kaserne
casino | Kasino
Caspic Mare | Kaspisches Meer
casquette | Mütze
cassa | Kasse
casserol | Kochtopf
castanie | Kastanie
castaniero | Kastanienbaum
caste | Kaste
castelle | Burg, Schloss
castigar | züchtigen
castigation | Züchtigung
Castilia | Kastilien
castor | Biber
castrar | kastrieren
castration | Kastration
castrato | Kastrierter
casu de beson | Notfall
casu | Fall
casual | zufällig
cat | Katze
cata-combe | Katakombe
catalog | Katalog
Catalonia | Katalonien
catalonian | katalanisch
catapult | Katapult, Wurfgeschoss
cataracte | großer Wasserfall
catarre | Erkältung
catastrof | Katastrophe
catastrofal | katastrophal
catedrale | Dom, Kathedrale
catedre | Lehrstuhl
categoric | kategorisch
categorie | Kategorie
cato | Kater
catedre | Lehrstuhl
caten | Kette
catenar | anketten
catolic | katholisch
catolicisme | Katholizismus
catolico | Katholik
Caucás | Kaukasus
caudard | Feigling
caudardi | feige
caude | Schwanz
caudear | mit dem Schwanz wedeln
caul | Kohl
caulrap | Kohlrabi
cauliflor | Blumenkohl
caus | wegen, um ... willen
causal | ursächlich
causar | verursachen
cause | Grund, Ursache
caut | vorsichtig
cautchuc | Kautschuk, Gummi
cavalcade | Ritt
cavalcar | reiten
cavaliero | Ritter
cavall | Pferd
cavall-evelatoria | Gestüt
cavalla | Stute
cavallach | Gaul
cavalleríe | Kavallerie
cavallo | Hengst
caverne | Höhle
cavi | hohl
caviare | Kaviar
caye | Kai
CD/DVD | CD/DVD
cebul | Zwiebel
cedaci | nachgiebig
ceder | abtreten, weichen, nachgeben
cedre | Zeder
cedul | Zettel
celar | verbergen
celebrar | feiern
celebri | berühmt
celebritá | Berühmtheit
celest | himmlisch
celib | ledig
celibatu | Zölibat, Ehelosigkeit
celibo | Junggeselle
céllar | Keller
cellul | Zelle
cellulose | Zellulose, Zellstofff
censura | Zensur
censurar | zensieren
cent un | hundert eins, 101
cent | hundert, 100, Cent
cent deci | hundertzehn, 110
centesim | hundertster
centimetre | Zentimeter
central | zentral
centrale | Zentrale
centralisar | zentralisieren
centre | Zentrum
cerebre | Gehirn
cerebrelle | Kleinhirn
ceremonial | zeremoniell
ceremonie | Zeremonie
cerese | Kirsche
ceresiero | Kirschbaum
cert | sicher, gewiss
certificar | bescheinigen, zertifizieren
cerficate | Zertifikat
certitá | Sicherheit, Gewissheit
cerva | Hirschkuh
cervo | Hirsch
cessar | aufhören
cession | Abtreten, Nachgeben
céteri | übrig
in céteri | übrigens
chablone | Schablone
chac | Schach
chac-figura | Schachfigur
chac-matt | Schachmatt
chac-tabul | Schachbrett
chacale | Schakal
chagrinar | sich grämen, bekümmert sein
chagrine | Kummer, Herzleid
chal | Schal, Halstuch
chalete | Hütte, Chalet
chalupe | Schaluppe
chambre | Zimmer
chambre balneari | Badezimmer
chambre de du lettes | Zweibettzimmer
chambre de un lette | Einbettzimmer
chambre duplic | Doppelzimmer
chambre individual | Einzelzimmer
chambrera | Zimmermädchen
champinion | Champignon
champion | Meister
championatu | Meisterschaft
chamús(e) | Gemse, Gams
chance | Chance, Glücksfall
bon chance! | viel Glück!
chanceosi | chancenreich
chancelar | schwanken, wanken
change | Wechsel, Änderung
changeament | Umstieg
changear | wechseln, ändern, umtauschen, umsteigen
chantage | Erpressung
chantagear | erpressen
chap | Kerl, Bursche. Junge
chapel | Hut
chapelero | Hutmacher
charge | Last (in abstraktem Sinn)
charitá | Barmherzigkeit, Wohltätigkeit
charitativ | karitativ
charlatan | Scharlatan
charmant | charmant
charmar | bezaubern
charme | Charme, Reiz, Anmut, Zauber
charnire | Scharnier
charta | Charta
chass-cane | Jagdhund, Spürhund
chass-horn | Jagdhorn
charpe | Schal, Schärpe
chascun | jeder
chassar | jagen
chassator | Jäger
chasse | Jagd
chassero | Jäger
chassí | Fahrgestell
chast | keusch
chastitá | Keuschheit
chauvinisme | Chauvinismus
chauvinistic | chauvinistisch
che | bei
chec | Scheck
chef | Chef
chef de cocine | Küchenchef
cheik | Scheich
chest | Kiste
chic | schick, elegant
chicanar | schikanieren, belästigen
chicane | Schikane, Belästigung
chifon | Lappen, Lumpen
chimené | Schornstein, Kamin
chimere | Hirngespinst, Trugbild
chimic | chemisch
chemico | Chemiker
chimie | Chemie
chimpansé | Schimpanse
China | China
chinesi | Chinesisch, chinesisch
chiripada | Zwitschern
chiripar | zwitschern
chirurgic | chirurgisch
chirurgie | Chirurgie
chirurgo | Chirurg
choc | Schock, Stoß, Erschütterung
chocant | schockierend, erschütternd
chocar | schockieren, schocken, erschüttern
chocolate | Schokolade
choferar | chauffieren, jemanden wohin fahren
chofero | Chauffeur
chop | Schoppen
chossé | Landstraße
chucotar | flüstern
chucotament | Flüstern
ci | hier
cicade | Zikade
cicatre | Narbe
cicatrisar | vernarben
cicindele | Johanniswürmchen
ciclisme | Radsport
ciclon | Wirbelsturm
cicoré | Zichorie
cidonio | Quitte
cidre | Apfelwein
ciec | blind
ciecitá | Blindheit
ciel | Himmel
cielal | Himmels-
cielest | himmlisch
ciffre | Ziffer
cigana | Zigeunerin
cigano | Zigeuner
cigarette | Zigarette
cigarre | Zigarre
cigne | Schwan
cilie | Wimper
cilindre | Zylinder
cilindric | zylindrisch
cime | Gipfel
címice | Wanze
cinabre | Zynober
cindre | Asche
cindriere | Aschenbecher
cindricolor | aschefarben
cinemá | Kino
cinic | zynisch
cinicisme | Zynismus
cinico | Zyniker
cinorodon | Hagebutte
cinter | umgürten
cintura | Gürtel
cion | Zion
cionisme | Zionismus
cipresse | Zypresse
cirar | einwachsen
circa | ungefähr, circa
circle | Kreis
circo | Zirkus
circuit | Kreislauf
circul | Kreis
circular | zirkulieren
circulare | Zirkular, Rundschreiben
circum | um, herum
circumité | Umwelt, Umgebung
circumpresser | umfassen, umzingeln
circumspectosi | umsichtig, vorsichtig
cire | Wachs
cis | diesseits
cisel | Meißel
ciselar | meißeln
ciser | durchschneiden
cision | Schnitt
cisores | Schere
cisura | Einschnitt, Schnitt, Zäsur
cítare | Zitter
citar | zitieren
citation | Zitat
cité | Stadt
cité capital | Hauptstadt
citean | Bürger
citron | Zitrone
cive | Bürger
civic | bürgerlich
civil | zivil
civilisar | zivilisieren
civilisation | Zivilisation
civité | Bürgerschaft
clacca | Knall
claccar | klicken, klatschen
claccada | Klatschen, Applaus
claffar | klaffen, kläffen
clamada | Rufen, Geschrei
clamar | rufen, schreien
clamore | Ruf, Schrei
clapotage | Plätschern
clapotar | plätschern
clappar | schnalzen
clappe | Klappe
clar | hell, klar
clar-lumie | Vollmond
clar-videntie | Hellsehen
clariera | Lichtung
clarificar | erklären, klarmachen, abklären
clarinette | Klarinette
claritá | Klarheit, Helligkeit
class-chambre | Klassenzimmer
classe | Klasse
classic | klassisch
classificar | klassifizieren
claudicant | hinkend
claudicar | hinken
clausul | Klausel, Bedingung
clausular | verklausulieren
claustre | Kloster
clave | Schlüssel, Taste, Abzug
clavicul | Schlüsselbein
claviere | Tastatur
clement | gnädig, gütig, mild
clementie | Güte, Milde
clerical | klerikal
clerico | Kleriker
clero | Klerus
clicca | Clique
cliché | Klischee
client | Kunde
clientela | Praxis, Kundschaft, Klientel
cliff | Klippe
clima | Klima
climatic | klimatisch
climbar | klettern
climbator | Kletterer
clinc | Klinke
cline | Neigung
clinica | Klinik
clinical | klinisch
clistere | Einlauf, Klistier
cloca | Abwasserkanal, Kloake
clobb | Keule
clocca | Uhrzeit
cloch-turre | Glockenturm
cloche | Glocke
clochear | läuten
clochiere | Glockenturm
clopp | Gewehrkolben
clorofill | Chlorophyll
closete | Klo, Toilette
clovar | nageln
clove | Nagel
club | Klub, Verein
clud-bolt | Türriegel
cluder | schließen, zumachen
cludet | zu, geschlossen
clusura | Verschluss
coacar | quaken
coacada | Gequake
coagular | gerinnen, erstarren
coagulation | Gerinnung, Erstarrung
cobalt | Kobalt
cobaye | Meerschweinchen
cobold | Kobold
coca | Koka
coca-cola | Coca Cola
cocaine | Kokain
coccinelle | Marienkäfer
coche | Kutsche
coche de bebé | Kinderwagen
cochemare | Alptraum
cochero | Kutscher
cocinar | kochen, zubereiten
cocinat | gekocht
cocine | Kochkunst, Cuisine
cochinera | Köchin
cochinero | Koch
cocinería | Küche
coclare | Löffel
cocluche | Keuchhusten
coco | Kokosnuss
cocon | Kokon
cocopalme | Kokospalme
cocpit | Cockpit
code | Kode, Gesetzeswerk
code postal | Postleitzahl
codificar | kodifizieren
coffre | Koffer
cohabitar | zusammenleben
coherent | zusammenhängend
coherer | zusammenhängen
cohesion | Zusammenhang
coidealist | Gesinnungsgenosse, Gleichgesinnter
coincider | zusammenfallen, sich decken
coincidentie | Zusammentreffen, Zufall
coiter | bei schlafen, sexuell verkehren
coition | Beischlaf, Geschlechtsverkehr
col | Hals
colaborar | zusammenarbeiten
colaboration | Zusammenarbeit
colaborator | Mitarbeiter
colare | Kragen
colation | Imbiss
colecter | sammeln
colection | Sammlung
colectiv | kollektiv
colectivisme | Kollektivismus
colectivist | Kollektivist
colector | Sammler
colega | Kollegin
colegial | kollegial
colego | Kollege
colerar | zornig sein, wütend sein
colere | Zorn
coleric | wütend
colerosi | zornig
colica | Kolik
colider | zusammenstoßen
colier | pflücken
coliere | Halskette
coline | Hügel
colision | Zusammenstoß
collar | leimen
colle | Leim
colocar | platzieren
colocation | Platzieren
cólon | Doppelpunkt
colonel | Oberst
colonia | Kolonie
colonial | kolonial
colonisar | kolonisieren
colonne | Säule
color | Farbe
colorar | färben
coloration | Färbung
colosse | Koloss
colpe | Schlag, Stoß, Streich
colpe de state | Putsch, Staatsstreich
colportar | hausieren
colportero | Hausierer
columbe | Taube
Columbia | Kolumbien
columbian | kolumbianisch
columbiera | Taubenschlag
columne | Spalte
colusion | (heimliches) Einverständnis
colza | Raps
coma | Koma (Bewusstlosigkeit)
comandament | Gebot
comandar | befehlen
comande | Befehl, Kommando
comandite | Teilhabergesellschaft
combatte | Kampf, Gefecht
combatter | kämpfen
combinar | verbinden, kombinieren, zusammensetzen
combination | Kombination
combuster | verbrennen
combustibil | brennbar
combustion | Verbrennung
comedie | Komödie
comemorar | erinnern, gedenken, wieder ins Gedächtnis rufen
comemoration | Gedenken
comendar | bestellen
comende | Auftrag, Bestellung
comensar | beginnen
comentar | kommentieren
comentarie | Kommentar
comentator | Kommentator
comense | Beginn, Anfang
comercial | Handels-, kommerziell
comerciante | Kaufmann, Händler
comerciar | handeln
comercie | Handel
comestibles | Esswaren
comete | Komet
cometter | begehen, ausführen
comfortabil | bequem, komfortabel
comic | 1. Comic, 2. komisch
comico | Komiker
comiserar | bemitleiden
comisser | beauftragen, aufgeben, anvertrauen
comission | Kommission
comissionario | Beauftragter
comissario | Kommissar
comma | Komma
commatre | Patin
comod | bequem
comoditá | Bequemlichkeit
comode | Kommode
comoer | erschüttern
comotion | Erschütterung
compact | fest, dich, zusammengedrängt
compact disco | CD, Compactdisc
compane | Geselle, Freund, Kumpel
companie | Gesellschaft, Begleitung, Kompanie
companion | Geschäftspartner
comparar | vergleichen
comparation | Vergleich
comparativ | vergleichend, komparativ
comparse | Komparse, Nebenfigur
compartiment | Abteil
compasse | Zirkel
compassion | Mitleid, Beileid
compatir | bemitleiden
compatibil | vereinbar
compatibilitá | Vereinbarkeit, Kompabilität
compatre | Pate, Gevatter
compatriot | Landsmann
compensar | ausgleichen, ersetzen, vergüten
competent | kompetent, zuständig
competentie | Kompetenz
competir | wetteifern
competition | Wettbewerb
